producers, M, length, time
100, 1000, 500, 340
100, 1000, 700, 278
100, 1000, 300, 240
100, 1000, 500, 276
100, 1000, 100, 256
100, 1000, 900, 281
100, 1000, 800, 265
100, 1000, 500, 274
100, 1000, 900, 271
100, 1000, 600, 281
100, 1000, 800, 273
100, 1000, 500, 290
100, 1000, 100, 277
100, 1000, 600, 266
100, 1000, 600, 242
100, 1000, 100, 254
100, 1000, 800, 274
100, 1000, 100, 263
100, 1000, 300, 318
100, 1000, 300, 248
100, 1000, 200, 273
100, 1000, 500, 288
100, 1000, 400, 269
100, 1000, 700, 335
100, 1000, 500, 236
100, 1000, 100, 298
100, 1000, 300, 249
100, 1000, 300, 319
100, 1000, 500, 1770
100, 1000, 300, 276
100, 1000, 100, 242
100, 1000, 800, 254
100, 1000, 700, 275
100, 1000, 400, 275
100, 1000, 700, 321
100, 1000, 500, 212
100, 1000, 800, 99
100, 1000, 800, 241
100, 1000, 400, 82
100, 1000, 100, 283
100, 1000, 700, 101
100, 1000, 100, 89
100, 1000, 400, 318
100, 1000, 1000, 96
100, 1000, 700, 86
100, 1000, 300, 325
100, 1000, 200, 82
100, 1000, 200, 78
100, 1000, 300, 77
100, 1000, 500, 64
100, 1000, 600, 293
100, 1000, 500, 67
100, 1000, 100, 258
100, 1000, 300, 59
100, 1000, 500, 50
100, 1000, 400, 51
100, 1000, 400, 338
100, 1000, 1000, 87
100, 1000, 100, 78
100, 1000, 600, 215
100, 1000, 900, 74
100, 1000, 700, 352
100, 1000, 200, 74
100, 1000, 600, 52
100, 1000, 900, 356
100, 1000, 700, 262
100, 1000, 200, 107
100, 1000, 100, 49
100, 1000, 300, 63
100, 1000, 600, 50
100, 1000, 700, 368
100, 1000, 700, 84
100, 1000, 400, 56
100, 1000, 700, 319
100, 1000, 400, 85
100, 1000, 800, 78
100, 1000, 700, 172
100, 1000, 600, 64
100, 1000, 700, 49
100, 1000, 500, 413
100, 1000, 500, 73
100, 1000, 300, 60
100, 1000, 300, 346
100, 1000, 400, 93
100, 1000, 800, 84
100, 1000, 500, 365
100, 1000, 300, 74
100, 1000, 500, 71
100, 1000, 200, 57
100, 1000, 100, 59
100, 1000, 100, 57
100, 1000, 200, 51
100, 1000, 600, 336
100, 1000, 800, 75
100, 1000, 1000, 314
100, 1000, 700, 385
100, 1000, 400, 80
100, 1000, 100, 53
100, 1000, 500, 50
100, 1000, 200, 55
100, 1000, 400, 330
100, 1000, 900, 88
100, 1000, 500, 61
100, 1000, 1000, 410
100, 1000, 600, 473
100, 1000, 200, 68
100, 1000, 400, 433
100, 1000, 200, 84
100, 1000, 600, 53
100, 1000, 400, 383
100, 1000, 200, 70
100, 1000, 300, 53
100, 1000, 100, 52
100, 1000, 500, 471
100, 1000, 900, 91
100, 1000, 700, 411
100, 1000, 1000, 92
100, 1000, 1000, 291
100, 1000, 800, 459
100, 1000, 500, 109
100, 1000, 200, 48
100, 1000, 500, 402
100, 1000, 200, 78
100, 1000, 500, 61
100, 1000, 200, 328
100, 1000, 900, 84
100, 1000, 700, 315
100, 1000, 900, 48
100, 1000, 200, 378
100, 1000, 600, 51
100, 1000, 500, 61
100, 1000, 600, 57
100, 1000, 100, 311
100, 1000, 500, 63
100, 1000, 700, 60
100, 1000, 200, 81
100, 1000, 700, 401
100, 1000, 300, 371
100, 1000, 1000, 50
100, 1000, 100, 53
100, 1000, 400, 79
100, 1000, 100, 50
100, 1000, 300, 54
100, 1000, 500, 368
100, 1000, 500, 423
100, 1000, 600, 56
100, 1000, 300, 58
100, 1000, 500, 60
100, 1000, 500, 437
100, 1000, 400, 76
100, 1000, 300, 56
100, 1000, 300, 62
100, 1000, 100, 519
100, 1000, 1000, 66
100, 1000, 900, 56
100, 1000, 600, 365
100, 1000, 600, 72
100, 1000, 300, 50
100, 1000, 200, 501
100, 1000, 500, 61
100, 1000, 500, 57
100, 1000, 200, 57
100, 1000, 800, 427
100, 1000, 600, 54
100, 1000, 600, 436
100, 1000, 200, 60
100, 1000, 100, 406
100, 1000, 400, 58
100, 1000, 800, 52
100, 1000, 800, 332
100, 1000, 300, 82
100, 1000, 300, 429
100, 1000, 400, 63
100, 1000, 200, 51
100, 1000, 200, 381
100, 1000, 600, 64
100, 1000, 200, 64
100, 1000, 700, 56
100, 1000, 800, 503
100, 1000, 400, 59
100, 1000, 600, 64
100, 1000, 800, 487
100, 1000, 200, 459
100, 1000, 800, 58
100, 1000, 100, 71
100, 1000, 700, 57
100, 1000, 900, 650
100, 1000, 500, 52
100, 1000, 600, 47
100, 1000, 400, 838
100, 1000, 700, 116
100, 1000, 200, 55
100, 1000, 700, 921
100, 1000, 400, 46
100, 1000, 800, 77
100, 1000, 300, 417
100, 1000, 700, 55
100, 1000, 100, 55
100, 1000, 300, 62
100, 1000, 500, 69
100, 1000, 500, 686
100, 1000, 500, 172
100, 1000, 500, 1861
100, 1000, 700, 164
100, 1000, 400, 339
100, 1000, 300, 549
100, 1000, 900, 98
100, 1000, 600, 384
100, 1000, 300, 153
100, 1000, 400, 283
100, 1000, 100, 49
100, 1000, 700, 918
100, 1000, 400, 75
100, 1000, 100, 391
100, 1000, 400, 75
100, 1000, 700, 77
100, 1000, 300, 79
100, 1000, 900, 523
100, 1000, 400, 65
100, 1000, 800, 534
100, 1000, 600, 73
100, 1000, 300, 68
100, 1000, 600, 480
100, 1000, 200, 73
100, 1000, 200, 401
100, 1000, 400, 74
100, 1000, 400, 47
100, 1000, 800, 68
100, 1000, 300, 384
100, 1000, 100, 63
100, 1000, 300, 96
100, 1000, 500, 701
100, 1000, 500, 100
100, 1000, 900, 2082
100, 1000, 200, 134
100, 1000, 800, 53
100, 1000, 500, 441
100, 1000, 600, 63
100, 1000, 400, 53
100, 1000, 100, 441
100, 1000, 700, 73
100, 1000, 500, 53
100, 1000, 100, 48
100, 1000, 900, 605
100, 1000, 600, 77
100, 1000, 200, 55
100, 1000, 100, 574
100, 1000, 1000, 89
100, 1000, 100, 51
100, 1000, 600, 50
100, 1000, 100, 49
100, 1000, 400, 1401
100, 1000, 300, 196
100, 1000, 700, 974
100, 1000, 400, 88
100, 1000, 700, 768
100, 1000, 1000, 421
100, 1000, 100, 105
100, 1000, 400, 67
100, 1000, 500, 918
100, 1000, 100, 94
100, 1000, 300, 62
100, 1000, 300, 61
100, 1000, 200, 51
100, 1000, 100, 82
100, 1000, 300, 510
100, 1000, 900, 81
100, 1000, 600, 436
100, 1000, 800, 69
100, 1000, 800, 5852
100, 1000, 900, 249
100, 1000, 100, 245
100, 1000, 300, 605
100, 1000, 300, 78
100, 1000, 700, 48
100, 1000, 100, 47
100, 1000, 200, 829
100, 1000, 700, 154
100, 1000, 600, 81
100, 1000, 400, 56
100, 1000, 900, 628
100, 1000, 700, 397
100, 1000, 500, 1194
100, 1000, 600, 69
100, 1000, 300, 51
100, 1000, 200, 48
100, 1000, 200, 79
100, 1000, 1000, 498
100, 1000, 400, 238861954
100, 1000, 700, 139
100, 1000, 200, 108
100, 1000, 700, 98
100, 1000, 900, 221133087
100, 1000, 500, 80
100, 1000, 100, 52
100, 1000, 200, 54
100, 1000, 1000, 218915085
100, 1000, 100, 97
100, 1000, 600, 217594827
100, 1000, 400, 89
100, 1000, 1000, 89
100, 1000, 200, 86
100, 1000, 100, 54
100, 1000, 1000, 217108876
100, 1000, 500, 343
100, 1000, 500, 216737407
100, 1000, 700, 73
100, 1000, 500, 50
100, 1000, 900, 213772179
100, 1000, 600, 148
100, 1000, 300, 213342573
100, 1000, 700, 69
100, 1000, 100, 68
100, 1000, 200, 51
100, 1000, 300, 49
100, 1000, 600, 210932424
100, 1000, 100, 72
100, 1000, 400, 49
100, 1000, 800, 209281436
100, 1000, 1000, 89
100, 1000, 1000, 207522900
100, 1000, 300, 207133025
100, 1000, 600, 68
100, 1000, 600, 49
100, 1000, 500, 52
100, 1000, 900, 206213439
100, 1000, 700, 55
100, 1000, 1000, 204742964
100, 1000, 400, 72
100, 1000, 200, 50
100, 1000, 100, 51
100, 1000, 1000, 201980876
100, 1000, 800, 201791572
100, 1000, 100, 69
100, 1000, 100, 48
100, 1000, 900, 49
100, 1000, 700, 200941217
100, 1000, 1000, 74
100, 1000, 1000, 200120964
100, 1000, 100, 70
100, 1000, 200, 55
100, 1000, 1100, 199302175
100, 1000, 200, 69
100, 1000, 400, 49
100, 1000, 100, 52
100, 1000, 700, 198743420
100, 1000, 400, 73
100, 1000, 700, 58
100, 1000, 900, 197660884
100, 1000, 800, 70
100, 1000, 600, 197350812
100, 1000, 500, 67
100, 1000, 700, 196077741
100, 1000, 400, 73
100, 1000, 100, 48
100, 1000, 600, 194971960
100, 1000, 100, 77
100, 1000, 700, 193458203
100, 1000, 400, 74
100, 1000, 600, 52
100, 1000, 800, 191891082
100, 1000, 200, 71
100, 1000, 200, 70
100, 1000, 300, 86
100, 1000, 900, 191154552
100, 1000, 800, 63
100, 1000, 200, 50
100, 1000, 500, 190468081
100, 1000, 800, 74
100, 1000, 1000, 190077949
100, 1000, 300, 73
100, 1000, 100, 56
100, 1000, 1000, 189353257
100, 1000, 100, 71
100, 1000, 900, 51
100, 1000, 200, 54
100, 1000, 500, 188732166
100, 1000, 600, 76
100, 1000, 600, 187306855
100, 1000, 900, 75
100, 1000, 500, 186955580
100, 1000, 100, 76
100, 1000, 1000, 62
100, 1000, 900, 186776957
100, 1000, 100, 66
100, 1000, 900, 185609481
100, 1000, 200, 66
100, 1000, 300, 50
100, 1000, 1000, 185524477
100, 1000, 800, 184977818
100, 1000, 600, 77
100, 1000, 500, 51
100, 1000, 300, 182770290
100, 1000, 700, 50
100, 1000, 600, 51
100, 1000, 1000, 181999865
100, 1000, 600, 77
100, 1000, 500, 66
100, 1000, 700, 180191373
100, 1000, 600, 65
100, 1000, 1000, 180003295
100, 1000, 700, 178827323
100, 1000, 100, 85
100, 1000, 600, 83
100, 1000, 900, 177390297
100, 1000, 300, 175903123
100, 1000, 200, 74
100, 1000, 300, 53
100, 1000, 800, 50
100, 1000, 700, 175011281
100, 1000, 800, 64
100, 1000, 1000, 174028755
100, 1000, 200, 98
100, 1000, 600, 48
100, 1000, 900, 172627188
100, 1000, 100, 83
100, 1000, 100, 52
100, 1000, 700, 172134225
100, 1000, 400, 76
100, 1000, 400, 171149615
100, 1000, 600, 75
100, 1000, 500, 52
100, 1000, 400, 52
100, 1000, 400, 169984057
100, 1000, 500, 67
100, 1000, 600, 53
100, 1000, 300, 54
100, 1000, 400, 168827639
100, 1000, 700, 69
100, 1000, 700, 57
100, 1000, 900, 167626803
100, 1000, 1000, 165992801
100, 1000, 700, 69
100, 1000, 600, 165486074
100, 1000, 900, 164925083
100, 1000, 700, 72
100, 1000, 900, 164281885
100, 1000, 700, 75
100, 1000, 400, 52
100, 1000, 700, 164317207
100, 1000, 600, 72
100, 1000, 900, 163461548
100, 1000, 200, 81
100, 1000, 700, 62
100, 1000, 200, 162924465
100, 1000, 500, 66
100, 1000, 200, 48
100, 1000, 400, 51
