consumer, M, length, time
10, 1000, 100, 905
10, 1000, 900, 728
10, 1000, 200, 728
10, 1000, 600, 646
10, 1000, 800, 714
10, 1000, 200, 11005615
10, 1000, 1000, 5032912
10, 1000, 100, 5746820
10, 1000, 800, 4171357
10, 1000, 600, 716
10, 1000, 700, 11134053
10, 1000, 200, 7721182
10, 1000, 100, 8087958
10, 1000, 500, 8363998
10, 1000, 700, 12193434
10, 1000, 600, 13894595
10, 1000, 400, 805
10, 1000, 900, 14245600
10, 1000, 100, 12986288
10, 1000, 800, 9183147
10, 1000, 100, 878
10, 1000, 600, 14593929
10, 1000, 500, 13450514
10, 1000, 800, 12495737
10, 1000, 600, 12977084
10, 1000, 200, 8860161
10, 1000, 500, 7764819
10, 1000, 800, 4054517
10, 1000, 1000, 4824388
10, 1000, 700, 4799198
10, 1000, 500, 4516998
10, 1000, 500, 10844885
10, 1000, 800, 11169640
10, 1000, 400, 10596248
10, 1000, 100, 676
10, 1000, 100, 5069966
10, 1000, 100, 4147944
10, 1000, 500, 3750559
10, 1000, 800, 18797213
10, 1000, 400, 9326022
10, 1000, 100, 645
10, 1000, 100, 5432171
10, 1000, 700, 5026215
10, 1000, 100, 1066
10, 1000, 400, 4580358
10, 1000, 300, 5005599
10, 1000, 600, 5226379
10, 1000, 400, 5411493
10, 1000, 200, 4812462
10, 1000, 300, 741
10, 1000, 200, 4688844
10, 1000, 1000, 4987190
10, 1000, 600, 5190455
10, 1000, 700, 17049475
10, 1000, 600, 12294727
10, 1000, 400, 6314397
10, 1000, 500, 6304200
10, 1000, 1000, 4668316
10, 1000, 900, 5247211
10, 1000, 400, 5440381
10, 1000, 300, 573
10, 1000, 400, 12552978
10, 1000, 1000, 5693693
10, 1000, 100, 914
10, 1000, 900, 14288787
10, 1000, 900, 13570543
10, 1000, 200, 899
10, 1000, 100, 8584174
10, 1000, 800, 14965105
10, 1000, 300, 8442554
10, 1000, 600, 6912035
10, 1000, 700, 7368620
10, 1000, 900, 5525869
