consumer, M, length, time
1000, 1000, 600, 286
1000, 1000, 1000, 270
1000, 1000, 100, 309
1000, 1000, 100, 270
1000, 1000, 200, 242
1000, 1000, 1000, 243
1000, 1000, 300, 290
1000, 1000, 600, 225
1000, 1000, 1000, 213
1000, 1000, 200, 297
1000, 1000, 300, 229
1000, 1000, 200, 213
1000, 1000, 1000, 248
1000, 1000, 600, 236
1000, 1000, 800, 220
1000, 1000, 800, 226
1000, 1000, 800, 182
1000, 1000, 400, 261
1000, 1000, 200, 251
1000, 1000, 300, 217
1000, 1000, 1000, 202
1000, 1000, 100, 196
1000, 1000, 900, 265
1000, 1000, 100, 214
1000, 1000, 200, 242
1000, 1000, 700, 265
1000, 1000, 800, 213
1000, 1000, 500, 218
1000, 1000, 700, 240
1000, 1000, 200, 235
1000, 1000, 300, 217
1000, 1000, 700, 204
1000, 1000, 300, 93
1000, 1000, 300, 90
1000, 1000, 300, 77
1000, 1000, 400, 209
1000, 1000, 300, 94
1000, 1000, 1000, 239
1000, 1000, 900, 220
1000, 1000, 500, 86
1000, 1000, 200, 169
1000, 1000, 600, 86
1000, 1000, 1000, 87
1000, 1000, 200, 216
1000, 1000, 100, 87
1000, 1000, 800, 87
1000, 1000, 100, 60
1000, 1000, 400, 226
1000, 1000, 600, 77
1000, 1000, 1000, 251
1000, 1000, 600, 205
1000, 1000, 100, 97
1000, 1000, 200, 66
1000, 1000, 500, 73
1000, 1000, 500, 147
1000, 1000, 1000, 95
1000, 1000, 200, 197
1000, 1000, 500, 81
1000, 1000, 200, 68
1000, 1000, 200, 230
1000, 1000, 800, 64
1000, 1000, 600, 95
1000, 1000, 600, 230
1000, 1000, 500, 81
1000, 1000, 900, 84
1000, 1000, 600, 279
1000, 1000, 700, 77
1000, 1000, 800, 234
1000, 1000, 1000, 79
1000, 1000, 200, 100
1000, 1000, 800, 626
1000, 1000, 400, 280
1000, 1000, 600, 51
1000, 1000, 300, 232
1000, 1000, 300, 624
1000, 1000, 700, 346
1000, 1000, 600, 278
1000, 1000, 300, 384
1000, 1000, 700, 87
1000, 1000, 600, 91
1000, 1000, 900, 549
1000, 1000, 100, 244
1000, 1000, 400, 79
1000, 1000, 600, 87
1000, 1000, 300, 249
1000, 1000, 100, 1730
1000, 1000, 400, 244
1000, 1000, 300, 312
1000, 1000, 300, 126
1000, 1000, 600, 59
1000, 1000, 700, 436
1000, 1000, 1000, 215
1000, 1000, 900, 271
1000, 1000, 200, 79
1000, 1000, 700, 58
1000, 1000, 500, 347
1000, 1000, 100, 77
1000, 1000, 1000, 47
1000, 1000, 300, 68
1000, 1000, 800, 1472709
1000, 1000, 1100, 266
1000, 1000, 100, 74
1000, 1000, 600, 92
1000, 1000, 200, 68
1000, 1000, 900, 249
1000, 1000, 700, 302
1000, 1000, 100, 255
1000, 1000, 1000, 67
1000, 1000, 300, 91
1000, 1000, 200, 286
1000, 1000, 200, 79
1000, 1000, 600, 80
1000, 1000, 200, 80
1000, 1000, 900, 244
1000, 1000, 400, 96
1000, 1000, 900, 284
1000, 1000, 400, 94
1000, 1000, 300, 57
1000, 1000, 300, 54
1000, 1000, 200, 66
1000, 1000, 600, 270
1000, 1000, 100, 63
1000, 1000, 900, 52
1000, 1000, 300, 79
1000, 1000, 100, 344
1000, 1000, 700, 86
1000, 1000, 500, 70
1000, 1000, 1000, 252
1000, 1000, 500, 87
1000, 1000, 800, 232
1000, 1000, 800, 99
1000, 1000, 100, 240
1000, 1000, 900, 138
1000, 1000, 400, 97
1000, 1000, 500, 89
1000, 1000, 100, 90
1000, 1000, 100, 236
1000, 1000, 500, 76
1000, 1000, 1000, 355
1000, 1000, 300, 287
1000, 1000, 900, 157
1000, 1000, 300, 617
1000, 1000, 400, 207
1000, 1000, 300, 527
1000, 1000, 300, 119
1000, 1000, 800, 149
1000, 1000, 700, 254
1000, 1000, 800, 483
1000, 1000, 500, 1159
1000, 1000, 300, 324
1000, 1000, 500, 98
1000, 1000, 200, 1461
1000, 1000, 900, 67
1000, 1000, 400, 140
1000, 1000, 500, 266
1000, 1000, 200, 91
1000, 1000, 600, 60
1000, 1000, 600, 72
1000, 1000, 100, 191
1000, 1000, 800, 934
1000, 1000, 1000, 101
1000, 1000, 300, 396
1000, 1000, 700, 91
1000, 1000, 400, 212
1000, 1000, 600, 310
1000, 1000, 1000, 70
1000, 1000, 700, 491
1000, 1000, 400, 200
1000, 1000, 300, 1871
1000, 1000, 200, 166
1000, 1000, 600, 122
1000, 1000, 100, 77
1000, 1000, 400, 66
1000, 1000, 200, 85
1000, 1000, 100, 250
1000, 1000, 1000, 74
1000, 1000, 600, 471
1000, 1000, 400, 92
1000, 1000, 100, 164
