producers, M, length, time
10, 10000, 1000, 1418
10, 10000, 1000, 311
10, 10000, 1000, 262
10, 10000, 1000, 221
10, 10000, 9000, 240
10, 10000, 1000, 350
10, 10000, 1000, 266
10, 10000, 1000, 250
10, 10000, 1000, 230
10, 10000, 1000, 228
10, 10000, 10000, 225
10, 10000, 1000, 321
10, 10000, 1000, 315
10, 10000, 1000, 331
10, 10000, 1000, 250
10, 10000, 1000, 262
10, 10000, 1000, 265
10, 10000, 1000, 250
10, 10000, 1000, 288
10, 10000, 1000, 281
10, 10000, 1000, 251
10, 10000, 1000, 262
10, 10000, 1000, 265
10, 10000, 2000, 257
10, 10000, 1000, 260
10, 10000, 1000, 273
10, 10000, 1000, 253
10, 10000, 1000, 263
10, 10000, 1000, 265
10, 10000, 1000, 252
10, 10000, 3000, 264
10, 10000, 1000, 246
10, 10000, 1000, 249
10, 10000, 1000, 281
10, 10000, 9000, 250
10, 10000, 1000, 258
10, 10000, 1000, 243
10, 10000, 9000, 217
10, 10000, 1000, 916
10, 10000, 1000, 597
10, 10000, 1000, 735
10, 10000, 1000, 1001
10, 10000, 1000, 910
10, 10000, 1000, 1582
10, 10000, 1000, 896
10, 10000, 4000, 1281
10, 10000, 1000, 167
10, 10000, 1000, 222
10, 10000, 1000, 219
10, 10000, 1000, 245
10, 10000, 1000, 201
10, 10000, 2000, 185
10, 10000, 1000, 214
10, 10000, 6000, 236
10, 10000, 1000, 244
10, 10000, 3000, 223
10, 10000, 1000, 220
10, 10000, 1000, 197
10, 10000, 1000, 205
10, 10000, 1000, 223
10, 10000, 1000, 205
10, 10000, 1000, 234
10, 10000, 1000, 202
10, 10000, 9000, 239
10, 10000, 1000, 249
10, 10000, 1000, 275
10, 10000, 1000, 278
10, 10000, 1000, 269
10, 10000, 1000, 234
10, 10000, 1000, 259
10, 10000, 1000, 255
10, 10000, 1000, 238
10, 10000, 1000, 233
10, 10000, 1000, 265
10, 10000, 1000, 225
10, 10000, 1000, 203
10, 10000, 1000, 232
10, 10000, 1000, 232
10, 10000, 8000, 233
10, 10000, 1000, 263
10, 10000, 1000, 303
10, 10000, 10000, 187
10, 10000, 1000, 263
10, 10000, 1000, 65
10, 10000, 1000, 61
10, 10000, 1000, 76
10, 10000, 1000, 74
10, 10000, 8000, 69
10, 10000, 1000, 68
10, 10000, 8000, 55
10, 10000, 1000, 309
