consumer, M, length, time
100, 10000, 2000, 1020
100, 10000, 1000, 826
100, 10000, 1000, 645
100, 10000, 8000, 624
100, 10000, 2000, 702
100, 10000, 1000, 762
100, 10000, 1000, 669
100, 10000, 1000, 689
100, 10000, 1000, 787
100, 10000, 1000, 791
100, 10000, 10000, 674
100, 10000, 1000, 771
100, 10000, 10000, 740
100, 10000, 1000, 161952835
100, 10000, 1000, 161791643
100, 10000, 1000, 161682223
100, 10000, 8000, 98521823
100, 10000, 1000, 105186380
100, 10000, 1000, 104593007
100, 10000, 1000, 103515069
100, 10000, 1000, 102900730
100, 10000, 1000, 43655406
100, 10000, 3000, 43535611
100, 10000, 1000, 22439036
100, 10000, 1000, 23141279
100, 10000, 1000, 23260577
100, 10000, 10000, 23483287
100, 10000, 1000, 87618749
100, 10000, 5000, 175245024
100, 10000, 1000, 262
100, 10000, 1000, 94831416
100, 10000, 1000, 95157483
100, 10000, 1000, 95548277
100, 10000, 3000, 97128956
100, 10000, 1000, 104582098
100, 10000, 1000, 104688859
100, 10000, 1000, 106008587
100, 10000, 6000, 106854559
100, 10000, 1000, 265
100, 10000, 1000, 116039520
100, 10000, 6000, 203909218
100, 10000, 1000, 340
100, 10000, 1000, 129347962
100, 10000, 1000, 129521597
100, 10000, 5000, 129759704
100, 10000, 1000, 144873260
100, 10000, 1000, 146178022
100, 10000, 1000, 147382283
100, 10000, 5000, 147504426
100, 10000, 1000, 157170759
100, 10000, 1000, 158411079
100, 10000, 1000, 158479781
100, 10000, 1000, 158560914
100, 10000, 1000, 159555029
100, 10000, 1000, 159628462
100, 10000, 1000, 159677567
100, 10000, 1000, 159691202
100, 10000, 1000, 159863499
100, 10000, 10000, 161362407
100, 10000, 4000, 306
100, 10000, 1000, 177074666
100, 10000, 1000, 177270440
100, 10000, 7000, 178678046
100, 10000, 1000, 351
100, 10000, 1000, 186128745
100, 10000, 1000, 186349256
100, 10000, 1000, 186407108
100, 10000, 1000, 187654759
100, 10000, 1000, 187705532
100, 10000, 1000, 187763347
100, 10000, 1000, 187797879
100, 10000, 1000, 187951476
100, 10000, 1000, 188480538
100, 10000, 4000, 188554393
100, 10000, 1000, 191103200
100, 10000, 1000, 191306579
100, 10000, 1000, 191535561
