consumer, M, length, time
100, 100000, 70000, 287
100, 100000, 60000, 183
100, 100000, 30000, 99
100, 100000, 60000, 97
100, 100000, 10000, 97
100, 100000, 20000, 234
100, 100000, 20000, 60
100, 100000, 70000, 96
100, 100000, 60000, 100
100, 100000, 100000, 229
100, 100000, 30000, 234
100, 100000, 20000, 93
100, 100000, 100000, 141
100, 100000, 80000, 156
100, 100000, 40000, 95
100, 100000, 60000, 180
100, 100000, 10000, 102
100, 100000, 60000, 67
100, 100000, 80000, 177
100, 100000, 70000, 94
100, 100000, 10000, 176
100, 100000, 10000, 85
100, 100000, 40000, 94
100, 100000, 10000, 98
100, 100000, 80000, 71
100, 100000, 60000, 95
100, 100000, 20000, 167
100, 100000, 90000, 50
100, 100000, 50000, 94
100, 100000, 10000, 161
100, 100000, 100000, 59
100, 100000, 40000, 83
100, 100000, 90000, 171
100, 100000, 10000, 180
100, 100000, 30000, 49
100, 100000, 20000, 164
100, 100000, 40000, 50
100, 100000, 10000, 329
100, 100000, 10000, 97
100, 100000, 80000, 53
100, 100000, 40000, 186
100, 100000, 60000, 123
100, 100000, 80000, 152
100, 100000, 10000, 118
100, 100000, 100000, 70
100, 100000, 40000, 191
100, 100000, 20000, 127
100, 100000, 70000, 95
100, 100000, 60000, 222
100, 100000, 100000, 95
100, 100000, 30000, 265
100, 100000, 30000, 130
100, 100000, 50000, 119
100, 100000, 100000, 96
100, 100000, 100000, 195
100, 100000, 20000, 93
100, 100000, 30000, 47
100, 100000, 50000, 221
100, 100000, 20000, 93
100, 100000, 30000, 94
100, 100000, 70000, 119
100, 100000, 80000, 250
100, 100000, 60000, 118
100, 100000, 80000, 220
100, 100000, 80000, 98
100, 100000, 30000, 95
100, 100000, 80000, 173
100, 100000, 50000, 96
100, 100000, 30000, 98
100, 100000, 10000, 95
100, 100000, 60000, 175
100, 100000, 30000, 52
100, 100000, 10000, 95
100, 100000, 80000, 94
100, 100000, 70000, 211
100, 100000, 40000, 120
100, 100000, 10000, 95
100, 100000, 20000, 111
100, 100000, 40000, 96
100, 100000, 30000, 97
100, 100000, 80000, 208
100, 100000, 70000, 93
100, 100000, 30000, 214
100, 100000, 100000, 96
100, 100000, 40000, 96
100, 100000, 100000, 159
100, 100000, 100000, 206
100, 100000, 20000, 96
100, 100000, 70000, 198
100, 100000, 20000, 183
100, 100000, 80000, 58
100, 100000, 10000, 96
100, 100000, 20000, 93
100, 100000, 60000, 296
100, 100000, 30000, 62
100, 100000, 20000, 74
100, 100000, 50000, 99
100, 100000, 20000, 94
100, 100000, 40000, 396
100, 100000, 80000, 105
100, 100000, 60000, 97
100, 100000, 30000, 92
100, 100000, 10000, 95
100, 100000, 90000, 231
100, 100000, 20000, 95
100, 100000, 60000, 191
100, 100000, 90000, 94
100, 100000, 100000, 298
100, 100000, 100000, 183
100, 100000, 10000, 97
100, 100000, 20000, 96
100, 100000, 30000, 62
100, 100000, 20000, 98
100, 100000, 10000, 274
100, 100000, 50000, 49
100, 100000, 10000, 94
100, 100000, 50000, 95
100, 100000, 40000, 126
100, 100000, 90000, 332
100, 100000, 60000, 95
100, 100000, 50000, 204
100, 100000, 50000, 96
100, 100000, 70000, 94
100, 100000, 20000, 95
100, 100000, 40000, 269
100, 100000, 30000, 114
100, 100000, 100000, 112
100, 100000, 40000, 423
100, 100000, 80000, 94
100, 100000, 40000, 94
100, 100000, 60000, 216
100, 100000, 90000, 226
100, 100000, 20000, 93
100, 100000, 50000, 227
100, 100000, 80000, 94
100, 100000, 40000, 281
100, 100000, 10000, 100
100, 100000, 50000, 100
100, 100000, 50000, 1330
100, 100000, 60000, 95
100, 100000, 90000, 78
100, 100000, 50000, 251
100, 100000, 60000, 94
100, 100000, 90000, 94
100, 100000, 30000, 218
100, 100000, 10000, 92
100, 100000, 30000, 97
100, 100000, 100000, 96
100, 100000, 40000, 463
100, 100000, 50000, 43
100, 100000, 10000, 96
100, 100000, 70000, 95
100, 100000, 80000, 220
100, 100000, 60000, 93
100, 100000, 40000, 95
100, 100000, 100000, 533
100, 100000, 60000, 1945
100, 100000, 20000, 95
100, 100000, 30000, 132
100, 100000, 10000, 150
100, 100000, 20000, 47
100, 100000, 50000, 49
100, 100000, 10000, 100
100, 100000, 30000, 97
100, 100000, 50000, 250
100, 100000, 40000, 93
100, 100000, 30000, 169
100, 100000, 80000, 117
100, 100000, 10000, 95
100, 100000, 50000, 992
100, 100000, 30000, 95
100, 100000, 30000, 1043
100, 100000, 10000, 363
100, 100000, 60000, 99
100, 100000, 10000, 94
100, 100000, 10000, 94
100, 100000, 20000, 96
100, 100000, 50000, 95
100, 100000, 20000, 64
100, 100000, 30000, 222
100, 100000, 30000, 124
100, 100000, 40000, 93
100, 100000, 40000, 98
100, 100000, 20000, 281
100, 100000, 70000, 121
100, 100000, 50000, 93
100, 100000, 10000, 94
100, 100000, 70000, 340
100, 100000, 70000, 97
100, 100000, 90000, 240
100, 100000, 30000, 96
