producers, M, length, time
10, 10000, 10000, 1379
10, 10000, 8000, 308
10, 10000, 1000, 292
10, 10000, 5000, 581
10, 10000, 10000, 358
10, 10000, 1000, 1282
10, 10000, 3000, 238
10, 10000, 4000, 885
10, 10000, 6000, 697
10, 10000, 2000, 349
10, 10000, 7000, 437
10, 10000, 6000, 299
10, 10000, 3000, 284
10, 10000, 3000, 330
10, 10000, 3000, 331
10, 10000, 4000, 319
10, 10000, 1000, 297
10, 10000, 10000, 250
10, 10000, 2000, 571
10, 10000, 3000, 66
10, 10000, 8000, 62
10, 10000, 3000, 248
10, 10000, 9000, 88
10, 10000, 3000, 406
10, 10000, 3000, 67
10, 10000, 8000, 55
10, 10000, 1000, 66
10, 10000, 5000, 372
10, 10000, 7000, 63
10, 10000, 3000, 324
10, 10000, 1000, 63
10, 10000, 6000, 79
10, 10000, 2000, 60
10, 10000, 2000, 63
10, 10000, 1000, 58
10, 10000, 5000, 253200882
10, 10000, 6000, 54
10, 10000, 1000, 253586396
10, 10000, 4000, 179575420
10, 10000, 7000, 53
10, 10000, 10000, 167358478
10, 10000, 7000, 244088746
10, 10000, 5000, 108
10, 10000, 3000, 49
10, 10000, 2000, 52
10, 10000, 10000, 236649583
10, 10000, 3000, 52
10, 10000, 3000, 246666621
10, 10000, 7000, 50
10, 10000, 5000, 53
10, 10000, 2000, 60
10, 10000, 7000, 249582268
10, 10000, 2000, 54
10, 10000, 3000, 52
10, 10000, 8000, 277650916
10, 10000, 2000, 74
10, 10000, 6000, 66
10, 10000, 9000, 296912156
10, 10000, 6000, 56
10, 10000, 4000, 56
10, 10000, 8000, 330303029
10, 10000, 7000, 56
10, 10000, 5000, 335648720
10, 10000, 5000, 79
10, 10000, 10000, 392736869
10, 10000, 9000, 81
10, 10000, 5000, 414962696
10, 10000, 5000, 59
10, 10000, 3000, 47
10, 10000, 5000, 48
10, 10000, 5000, 370453245
10, 10000, 7000, 79
10, 10000, 4000, 56
10, 10000, 6000, 58
10, 10000, 9000, 369840409
10, 10000, 3000, 78
10, 10000, 8000, 338631076
10, 10000, 10000, 65
10, 10000, 5000, 312433258
10, 10000, 2000, 52
10, 10000, 3000, 53
10, 10000, 3000, 52
10, 10000, 7000, 284533989
10, 10000, 3000, 47
10, 10000, 2000, 47
10, 10000, 9000, 293628604
10, 10000, 7000, 57
10, 10000, 2000, 61
10, 10000, 9000, 230340849
10, 10000, 6000, 154889328
10, 10000, 5000, 48
10, 10000, 2000, 48
10, 10000, 4000, 48
10, 10000, 3000, 48
10, 10000, 9000, 538400393
10, 10000, 5000, 171596011
10, 10000, 7000, 205
10, 10000, 2000, 105
10, 10000, 10000, 187594213
10, 10000, 3000, 74
10, 10000, 5000, 292723310
10, 10000, 1000, 95
10, 10000, 5000, 79
10, 10000, 5000, 885
10, 10000, 4000, 306726688
10, 10000, 4000, 74
10, 10000, 2000, 60
10, 10000, 4000, 48
10, 10000, 5000, 337832911
10, 10000, 3000, 54
10, 10000, 4000, 51
10, 10000, 6000, 52
10, 10000, 6000, 334746815
10, 10000, 7000, 52
10, 10000, 3000, 287100509
10, 10000, 5000, 58
10, 10000, 4000, 52
10, 10000, 7000, 51
10, 10000, 4000, 64
10, 10000, 10000, 299989492
10, 10000, 9000, 56
10, 10000, 9000, 292931386
10, 10000, 2000, 62
10, 10000, 1000, 57
10, 10000, 6000, 56
10, 10000, 6000, 282367212
10, 10000, 8000, 52
10, 10000, 6000, 59
10, 10000, 10000, 179513883
10, 10000, 1000, 58
10, 10000, 4000, 179340233
10, 10000, 4000, 51
10, 10000, 3000, 53
10, 10000, 1000, 55
10, 10000, 7000, 52
10, 10000, 1000, 54
10, 10000, 9000, 160317718
10, 10000, 5000, 52
10, 10000, 6000, 51
10, 10000, 4000, 180026980
10, 10000, 1000, 62
10, 10000, 5000, 124
10, 10000, 5000, 494843651
10, 10000, 1000, 205484320
10, 10000, 5000, 136
