consumer, M, length, time
100, 1000, 500, 301
100, 1000, 200, 259
100, 1000, 700, 225
100, 1000, 100, 317
100, 1000, 600, 275
100, 1000, 100, 362
100, 1000, 100, 471
100, 1000, 100, 537
100, 1000, 100, 449
100, 1000, 500, 441
100, 1000, 100, 1097
100, 1000, 100, 496
100, 1000, 500, 692
100, 1000, 100, 288
100, 1000, 100, 226
100, 1000, 100, 205
100, 1000, 100, 244
100, 1000, 100, 208
100, 1000, 500, 189
100, 1000, 100, 258
100, 1000, 100, 183
100, 1000, 100, 214
100, 1000, 200, 205
100, 1000, 100, 231
100, 1000, 100, 183
100, 1000, 100, 208
100, 1000, 800, 193
100, 1000, 100, 292
100, 1000, 100, 189
100, 1000, 100, 217
100, 1000, 100, 215
100, 1000, 100, 198
100, 1000, 100, 277
100, 1000, 200, 239
100, 1000, 100, 222
100, 1000, 100, 256
100, 1000, 100, 217
100, 1000, 900, 252
100, 1000, 100, 214
100, 1000, 100, 229
100, 1000, 100, 229
100, 1000, 100, 251
100, 1000, 100, 198
100, 1000, 200, 259
100, 1000, 100, 235
100, 1000, 100, 219
100, 1000, 100, 223
100, 1000, 500, 226
100, 1000, 100, 212
100, 1000, 300, 1653
100, 1000, 100, 230
100, 1000, 100, 227
100, 1000, 100, 249
100, 1000, 900, 229
100, 1000, 100, 202
100, 1000, 400, 58
100, 1000, 100, 50
100, 1000, 100, 58
100, 1000, 100, 54
100, 1000, 100, 56
100, 1000, 100, 66
100, 1000, 100, 74
100, 1000, 100, 54
100, 1000, 100, 67
100, 1000, 100, 62
100, 1000, 100, 71
100, 1000, 100, 58
100, 1000, 100, 52
100, 1000, 100, 64
100, 1000, 300, 61
100, 1000, 100, 94
100, 1000, 100, 74
100, 1000, 100, 81
100, 1000, 100, 57
100, 1000, 100, 62
100, 1000, 100, 60
100, 1000, 100, 63
100, 1000, 200, 54
100, 1000, 200, 62
100, 1000, 900, 230
100, 1000, 100, 72
100, 1000, 100, 243
100, 1000, 100, 86
100, 1000, 100, 79
100, 1000, 100, 58
100, 1000, 100, 54
100, 1000, 100, 51
100, 1000, 100, 51
100, 1000, 100, 56
100, 1000, 400, 89
100, 1000, 100, 67
100, 1000, 100, 69
100, 1000, 100, 73
100, 1000, 100, 59
100, 1000, 100, 61
100, 1000, 100, 59
100, 1000, 100, 55
100, 1000, 700, 57
100, 1000, 100, 63
100, 1000, 100, 67
100, 1000, 100, 64
100, 1000, 100, 55
100, 1000, 100, 51
100, 1000, 100, 54
100, 1000, 500, 243
100, 1000, 100, 79
100, 1000, 1000, 54
100, 1000, 100, 55
100, 1000, 100, 55
100, 1000, 100, 67
100, 1000, 100, 53
100, 1000, 100, 62
100, 1000, 100, 64
100, 1000, 100, 86
100, 1000, 100, 56
100, 1000, 100, 53
100, 1000, 100, 246
100, 1000, 800, 77
100, 1000, 800, 50
100, 1000, 100, 100
100, 1000, 100, 55
100, 1000, 100, 59
100, 1000, 100, 66
100, 1000, 100, 59
100, 1000, 100, 78
100, 1000, 100, 53
100, 1000, 100, 58
100, 1000, 100, 65
100, 1000, 100, 249
100, 1000, 100, 95
100, 1000, 100, 81
100, 1000, 1000, 66
100, 1000, 100, 82
100, 1000, 100, 70
100, 1000, 100, 61
100, 1000, 100, 66
100, 1000, 100, 64
100, 1000, 100, 57
100, 1000, 100, 75
100, 1000, 200, 242
100, 1000, 100, 259
100, 1000, 100, 81
100, 1000, 100, 60
100, 1000, 100, 68
100, 1000, 700, 59
100, 1000, 600, 82
100, 1000, 100, 69
100, 1000, 100, 232
100, 1000, 100, 85
100, 1000, 100, 65
100, 1000, 100, 56
100, 1000, 100, 61
100, 1000, 100, 65
100, 1000, 100, 62
100, 1000, 100, 76
100, 1000, 700, 89
100, 1000, 100, 67
100, 1000, 300, 63
100, 1000, 100, 75
100, 1000, 500, 59
100, 1000, 400, 77
100, 1000, 100, 310
100, 1000, 100, 79
100, 1000, 1000, 59
100, 1000, 100, 111
100, 1000, 100, 249
100, 1000, 100, 65
100, 1000, 100, 60
100, 1000, 100, 61
100, 1000, 100, 58
100, 1000, 100, 62
100, 1000, 100, 57
100, 1000, 100, 66
100, 1000, 200, 63
100, 1000, 800, 62
100, 1000, 100, 64
100, 1000, 100, 57
100, 1000, 100, 55
100, 1000, 100, 74
100, 1000, 100, 59
100, 1000, 100, 61
100, 1000, 100, 49
100, 1000, 100, 67
100, 1000, 100, 98
100, 1000, 100, 81
100, 1000, 100, 56
100, 1000, 100, 336
100, 1000, 400, 79
100, 1000, 100, 67
100, 1000, 100, 52
100, 1000, 100, 94
100, 1000, 100, 51
100, 1000, 100, 60
100, 1000, 100, 65
100, 1000, 100, 73
100, 1000, 700, 89
100, 1000, 100, 69
100, 1000, 100, 64
100, 1000, 100, 69
100, 1000, 100, 61
100, 1000, 100, 66
100, 1000, 100, 58
100, 1000, 100, 54
100, 1000, 100, 57
100, 1000, 100, 48
100, 1000, 100, 51
100, 1000, 100, 328
100, 1000, 100, 71
100, 1000, 100, 62
100, 1000, 600, 77
100, 1000, 200, 75
100, 1000, 100, 79
100, 1000, 200, 68
100, 1000, 300, 79
100, 1000, 300, 77
100, 1000, 100, 51
100, 1000, 700, 325
100, 1000, 100, 71
100, 1000, 100, 82
100, 1000, 100, 64
100, 1000, 100, 51
100, 1000, 800, 52
100, 1000, 100, 382
100, 1000, 100, 83
100, 1000, 100, 58
100, 1000, 100, 60
100, 1000, 300, 61
100, 1000, 800, 79
100, 1000, 100, 91
100, 1000, 200, 73
100, 1000, 100, 69
100, 1000, 100, 60
100, 1000, 100, 364
100, 1000, 100, 72
100, 1000, 100, 69
100, 1000, 100, 56
100, 1000, 100, 79
100, 1000, 100, 50
100, 1000, 700, 56
100, 1000, 900, 86
100, 1000, 100, 96
100, 1000, 100, 55
100, 1000, 100, 469
100, 1000, 600, 58
100, 1000, 600, 66
100, 1000, 1000, 429
100, 1000, 100, 98
100, 1000, 100, 58
100, 1000, 100, 55
100, 1000, 200, 57
100, 1000, 100, 52
100, 1000, 600, 66
100, 1000, 100, 61
100, 1000, 300, 50
100, 1000, 100, 75
100, 1000, 100, 53
100, 1000, 100, 58
100, 1000, 100, 77
100, 1000, 100, 73
100, 1000, 100, 52
100, 1000, 100, 67
100, 1000, 100, 58
100, 1000, 100, 50
100, 1000, 100, 50
100, 1000, 100, 403
100, 1000, 100, 80
100, 1000, 100, 80
100, 1000, 100, 53
100, 1000, 100, 53
100, 1000, 100, 58
100, 1000, 100, 53
100, 1000, 100, 70
100, 1000, 100, 66
100, 1000, 900, 54
100, 1000, 600, 81
100, 1000, 100, 81
100, 1000, 100, 63
100, 1000, 100, 53
100, 1000, 100, 59
100, 1000, 100, 61
100, 1000, 100, 60
100, 1000, 100, 433
100, 1000, 100, 74
100, 1000, 100, 62
100, 1000, 200, 54
100, 1000, 100, 60
100, 1000, 100, 58
100, 1000, 100, 66
100, 1000, 100, 54
100, 1000, 200, 63
100, 1000, 100, 52
100, 1000, 100, 68
100, 1000, 200, 78
100, 1000, 600, 88
100, 1000, 100, 94
100, 1000, 100, 66
100, 1000, 100, 58
100, 1000, 100, 464
100, 1000, 100, 84
100, 1000, 100, 50
100, 1000, 100, 60
100, 1000, 100, 61
100, 1000, 800, 58
100, 1000, 100, 88
100, 1000, 800, 68
100, 1000, 100, 52
100, 1000, 100, 55
100, 1000, 100, 53
100, 1000, 100, 382
100, 1000, 1000, 70
100, 1000, 100, 91
100, 1000, 100, 52
100, 1000, 100, 57
100, 1000, 100, 69
100, 1000, 100, 56
100, 1000, 100, 64
100, 1000, 100, 72
100, 1000, 100, 58
100, 1000, 100, 62
100, 1000, 100, 59
100, 1000, 100, 61
100, 1000, 400, 60
100, 1000, 100, 52
100, 1000, 100, 53
100, 1000, 100, 69
100, 1000, 100, 53
100, 1000, 100, 60
100, 1000, 100, 55
100, 1000, 100, 52
100, 1000, 100, 53
100, 1000, 1000, 334
100, 1000, 100, 52
100, 1000, 100, 60
100, 1000, 100, 303
100, 1000, 700, 54
100, 1000, 100, 60
100, 1000, 100, 57
100, 1000, 100, 64
100, 1000, 100, 53
100, 1000, 100, 60
100, 1000, 600, 67
100, 1000, 100, 97
100, 1000, 100, 59
100, 1000, 100, 60
100, 1000, 100, 52
100, 1000, 100, 51
100, 1000, 100, 57
100, 1000, 100, 53
100, 1000, 100, 59
100, 1000, 400, 275
100, 1000, 400, 73
100, 1000, 100, 83
100, 1000, 100, 65
100, 1000, 500, 54
100, 1000, 300, 306
100, 1000, 100, 79
100, 1000, 100, 56
100, 1000, 100, 56
100, 1000, 100, 50
100, 1000, 100, 64
100, 1000, 200, 56
100, 1000, 100, 54
100, 1000, 100, 59
100, 1000, 400, 56
100, 1000, 200, 71
100, 1000, 100, 66
100, 1000, 600, 387
100, 1000, 100, 72
100, 1000, 100, 52
100, 1000, 500, 66
100, 1000, 100, 284
100, 1000, 100, 80
100, 1000, 100, 56
100, 1000, 100, 51
100, 1000, 100, 69
100, 1000, 100, 67
100, 1000, 100, 73
100, 1000, 100, 61
100, 1000, 100, 56
100, 1000, 100, 67
100, 1000, 100, 64
100, 1000, 100, 63
100, 1000, 100, 65
100, 1000, 800, 62
100, 1000, 1000, 57
100, 1000, 100, 96
100, 1000, 100, 61
100, 1000, 100, 56
100, 1000, 100, 59
100, 1000, 100, 301
100, 1000, 100, 61
100, 1000, 100, 41
100, 1000, 700, 40
100, 1000, 600, 48
100, 1000, 100, 284
100, 1000, 100, 49
100, 1000, 100, 46
100, 1000, 100, 60
