producers, M, length, time
10, 100000, 80000, 1216
10, 100000, 10000, 388
10, 100000, 70000, 348
10, 100000, 20000, 352
10, 100000, 40000, 372
10, 100000, 30000, 352
10, 100000, 10000, 48
10, 100000, 100000, 48
10, 100000, 10000, 341
10, 100000, 30000, 48
10, 100000, 20000, 47
10, 100000, 70000, 58
10, 100000, 30000, 236
10, 100000, 60000, 415
10, 100000, 20000, 96
10, 100000, 100000, 51
10, 100000, 90000, 330
10, 100000, 50000, 79
10, 100000, 20000, 318
10, 100000, 50000, 205
10, 100000, 20000, 80
10, 100000, 50000, 48
10, 100000, 30000, 103
10, 100000, 90000, 274
10, 100000, 30000, 47
10, 100000, 80000, 8087658076
10, 100000, 50000, 49
10, 100000, 80000, 123
10, 100000, 10000, 63
10, 100000, 60000, 47
10, 100000, 90000, 8702781786
10, 100000, 90000, 47
10, 100000, 10000, 48
10, 100000, 70000, 8864875155
10, 100000, 70000, 49
10, 100000, 10000, 77
10, 100000, 70000, 9642168478
10, 100000, 50000, 48
10, 100000, 80000, 48
10, 100000, 100000, 10205216353
10, 100000, 80000, 47
10, 100000, 90000, 51
10, 100000, 100000, 11024424752
10, 100000, 20000, 241
10, 100000, 80000, 11485571916
10, 100000, 80000, 48
10, 100000, 90000, 12324300596
10, 100000, 90000, 67
10, 100000, 80000, 13191159799
10, 100000, 100000, 62
10, 100000, 30000, 12545329859
10, 100000, 30000, 52
10, 100000, 70000, 47
10, 100000, 80000, 52
10, 100000, 70000, 12782176355
10, 100000, 40000, 51
10, 100000, 30000, 11676249592
10, 100000, 80000, 48
10, 100000, 40000, 10885884719
10, 100000, 60000, 47
10, 100000, 60000, 11348052612
10, 100000, 70000, 47
10, 100000, 10000, 48
10, 100000, 70000, 41
10, 100000, 50000, 12347801716
10, 100000, 30000, 63
10, 100000, 40000, 48
10, 100000, 80000, 11692161139
10, 100000, 30000, 11531311884
10, 100000, 40000, 56
10, 100000, 40000, 47
10, 100000, 20000, 48
10, 100000, 10000, 47
10, 100000, 80000, 11229827360
10, 100000, 50000, 48
10, 100000, 40000, 24424996647
10, 100000, 30000, 62
10, 100000, 40000, 11971501915
10, 100000, 50000, 59
10, 100000, 60000, 47
10, 100000, 30000, 46
10, 100000, 80000, 11579856650
10, 100000, 50000, 488
10, 100000, 10000, 96
10, 100000, 80000, 12527035398
10, 100000, 20000, 51
10, 100000, 10000, 98
10, 100000, 20000, 96
10, 100000, 70000, 12929593494
10, 100000, 80000, 48
10, 100000, 100000, 13166910024
10, 100000, 80000, 359
10, 100000, 50000, 13470067192
10, 100000, 10000, 48
10, 100000, 80000, 48
10, 100000, 40000, 47
10, 100000, 10000, 48
10, 100000, 30000, 47
10, 100000, 100000, 14873732035
10, 100000, 100000, 14962415645
10, 100000, 100000, 14576303308
10, 100000, 80000, 64
10, 100000, 50000, 14268004623
10, 100000, 100000, 53
10, 100000, 20000, 14238302377
10, 100000, 100000, 47
10, 100000, 30000, 49
10, 100000, 50000, 14429538616
10, 100000, 10000, 48
10, 100000, 20000, 47
10, 100000, 50000, 48
10, 100000, 70000, 14251110643
10, 100000, 50000, 47
10, 100000, 30000, 13637840821
10, 100000, 40000, 48
10, 100000, 20000, 47
10, 100000, 50000, 46
10, 100000, 70000, 47
10, 100000, 80000, 13865546631
10, 100000, 90000, 71
10, 100000, 100000, 13863239205
10, 100000, 20000, 278
10, 100000, 70000, 14322846467
10, 100000, 70000, 115
10, 100000, 30000, 660
10, 100000, 100000, 14444705825
10, 100000, 10000, 52
10, 100000, 40000, 54
10, 100000, 30000, 81
10, 100000, 90000, 13596861370
10, 100000, 10000, 51
10, 100000, 30000, 14269681452
10, 100000, 50000, 50
10, 100000, 30000, 57
10, 100000, 70000, 13509373565
10, 100000, 50000, 56
10, 100000, 50000, 55
10, 100000, 10000, 51
10, 100000, 90000, 13851234978
10, 100000, 40000, 51
10, 100000, 20000, 55
10, 100000, 10000, 52
10, 100000, 70000, 13649210861
10, 100000, 30000, 49
10, 100000, 60000, 48
10, 100000, 100000, 12904666168
