producers, M, length, time
1000, 1000, 500, 355
1000, 1000, 100, 281
1000, 1000, 700, 220
1000, 1000, 500, 299
1000, 1000, 500, 269
1000, 1000, 1000, 279
1000, 1000, 300, 251
1000, 1000, 500, 308
1000, 1000, 800, 279
1000, 1000, 300, 256
1000, 1000, 100, 294
1000, 1000, 200, 253
1000, 1000, 100, 264
1000, 1000, 700, 276
1000, 1000, 900, 497
1000, 1000, 400, 280
1000, 1000, 900, 273
1000, 1000, 500, 237
1000, 1000, 200, 221
1000, 1000, 200, 298
1000, 1000, 700, 276
1000, 1000, 100, 257
1000, 1000, 200, 274
1000, 1000, 700, 251
1000, 1000, 500, 289
1000, 1000, 1000, 109
1000, 1000, 600, 286
1000, 1000, 400, 272
1000, 1000, 800, 77
1000, 1000, 400, 87
1000, 1000, 1000, 217
1000, 1000, 300, 87
1000, 1000, 500, 78
1000, 1000, 900, 233
1000, 1000, 200, 102
1000, 1000, 200, 93
1000, 1000, 200, 226
1000, 1000, 100, 82
1000, 1000, 800, 99
1000, 1000, 700, 271
1000, 1000, 500, 270
1000, 1000, 1000, 82
1000, 1000, 100, 316
1000, 1000, 400, 96
1000, 1000, 500, 90
1000, 1000, 600, 63
1000, 1000, 300, 311
1000, 1000, 200, 86
1000, 1000, 600, 61
1000, 1000, 300, 55
1000, 1000, 200, 77
1000, 1000, 400, 52
1000, 1000, 800, 280
1000, 1000, 100, 78
1000, 1000, 1000, 337
1000, 1000, 900, 72
1000, 1000, 300, 66
1000, 1000, 1000, 322
1000, 1000, 400, 83
1000, 1000, 600, 290
1000, 1000, 600, 67
1000, 1000, 300, 70
1000, 1000, 100, 292
1000, 1000, 600, 76
1000, 1000, 400, 62
1000, 1000, 900, 94
1000, 1000, 800, 90
1000, 1000, 400, 413
1000, 1000, 500, 89
1000, 1000, 100, 60
1000, 1000, 800, 60
1000, 1000, 200, 65
1000, 1000, 400, 368
1000, 1000, 200, 94
1000, 1000, 700, 64
1000, 1000, 800, 362
1000, 1000, 400, 53
1000, 1000, 200, 52
1000, 1000, 300, 74
1000, 1000, 1000, 586
1000, 1000, 600, 628
1000, 1000, 100, 248
1000, 1000, 100, 103
1000, 1000, 600, 114
1000, 1000, 900, 482
1000, 1000, 200, 53
1000, 1000, 200, 329
1000, 1000, 300, 92
1000, 1000, 200, 460
1000, 1000, 400, 125
1000, 1000, 600, 93
1000, 1000, 200, 86
1000, 1000, 100, 145
1000, 1000, 500, 695
1000, 1000, 600, 103
1000, 1000, 200, 671
1000, 1000, 900, 87
1000, 1000, 100, 166
1000, 1000, 100, 1120
1000, 1000, 300, 395
1000, 1000, 900, 172
1000, 1000, 200, 555
1000, 1000, 500, 76
1000, 1000, 600, 405
1000, 1000, 300, 78
1000, 1000, 500, 63
1000, 1000, 300, 66
1000, 1000, 900, 446
1000, 1000, 100, 62
1000, 1000, 300, 64
1000, 1000, 400, 67
1000, 1000, 800, 367
1000, 1000, 1000, 79
1000, 1000, 300, 52
1000, 1000, 800, 91
1000, 1000, 500, 423
1000, 1000, 700, 73
1000, 1000, 500, 296
1000, 1000, 200, 93
1000, 1000, 400, 102
1000, 1000, 900, 402
1000, 1000, 100, 64
1000, 1000, 700, 343
1000, 1000, 300, 77
1000, 1000, 400, 78
1000, 1000, 900, 363
