producers, M, length, time
10, 1000, 900, 1489
10, 1000, 400, 259
10, 1000, 600, 293
10, 1000, 500, 312
10, 1000, 200, 263
10, 1000, 700, 246
10, 1000, 1000, 305
10, 1000, 500, 251
10, 1000, 300, 227
10, 1000, 300, 265
10, 1000, 400, 235
10, 1000, 1000, 245
10, 1000, 400, 271
10, 1000, 200, 270
10, 1000, 400, 261
10, 1000, 800, 240
10, 1000, 300, 257
10, 1000, 100, 266
10, 1000, 400, 251
10, 1000, 100, 284
10, 1000, 300, 278
10, 1000, 700, 247
10, 1000, 800, 250
10, 1000, 800, 216
10, 1000, 200, 257
10, 1000, 500, 293
10, 1000, 400, 246
10, 1000, 800, 215
10, 1000, 1000, 45333606
10, 1000, 600, 229
10, 1000, 200, 224
10, 1000, 700, 27888839
10, 1000, 600, 269
10, 1000, 700, 279
10, 1000, 800, 24624167
10, 1000, 900, 22616989
10, 1000, 100, 221
10, 1000, 500, 238
10, 1000, 400, 22427145
10, 1000, 600, 299
10, 1000, 100, 263
10, 1000, 800, 17641728
10, 1000, 100, 234
10, 1000, 300, 16713174
10, 1000, 600, 217
10, 1000, 300, 201
10, 1000, 1000, 17211280
10, 1000, 800, 273
10, 1000, 800, 17689604
10, 1000, 300, 249
10, 1000, 500, 190
10, 1000, 1000, 18027048
10, 1000, 500, 230
10, 1000, 700, 18641505
10, 1000, 800, 261
10, 1000, 300, 260
10, 1000, 1000, 19495045
10, 1000, 200, 238
10, 1000, 700, 19184742
10, 1000, 700, 252
10, 1000, 900, 18241742
10, 1000, 200, 278
10, 1000, 800, 19484568
10, 1000, 200, 258
10, 1000, 300, 232
10, 1000, 700, 264
10, 1000, 1000, 20807783
10, 1000, 500, 269
10, 1000, 1000, 20049301
10, 1000, 700, 262
10, 1000, 700, 19454306
10, 1000, 900, 252
10, 1000, 200, 240
10, 1000, 200, 251
10, 1000, 900, 19258433
10, 1000, 500, 197
10, 1000, 500, 18353709
10, 1000, 700, 246
10, 1000, 700, 212
10, 1000, 800, 18500125
10, 1000, 200, 316
10, 1000, 800, 203
10, 1000, 500, 18388853
10, 1000, 100, 245
10, 1000, 100, 230
10, 1000, 1000, 229
10, 1000, 900, 21976718
10, 1000, 500, 231
10, 1000, 400, 21336084
10, 1000, 800, 246
10, 1000, 100, 205
10, 1000, 400, 216
10, 1000, 600, 20814857
10, 1000, 900, 203
10, 1000, 300, 20823760
10, 1000, 1000, 214
10, 1000, 300, 236
10, 1000, 400, 20657393
10, 1000, 100, 265
10, 1000, 800, 239
10, 1000, 300, 210
10, 1000, 900, 20965434
10, 1000, 600, 21348067
10, 1000, 300, 247
10, 1000, 900, 242
10, 1000, 200, 174
10, 1000, 600, 21422907
10, 1000, 1000, 303
10, 1000, 700, 21810540
10, 1000, 600, 18412841
10, 1000, 200, 90
10, 1000, 900, 81
10, 1000, 200, 52
10, 1000, 700, 17992583
10, 1000, 1000, 82
