consumer, M, length, time
100, 100000, 60000, 262
100, 100000, 10000, 211
100, 100000, 10000, 246
100, 100000, 10000, 106
100, 100000, 10000, 62
100, 100000, 10000, 70
100, 100000, 10000, 69
100, 100000, 60000, 117
100, 100000, 10000, 96
100, 100000, 50000, 53
100, 100000, 10000, 242
100, 100000, 40000, 224
100, 100000, 70000, 127
100, 100000, 10000, 59
100, 100000, 10000, 74
100, 100000, 10000, 50
100, 100000, 10000, 71
100, 100000, 10000, 69
100, 100000, 10000, 52
100, 100000, 10000, 59
100, 100000, 10000, 58
100, 100000, 10000, 60
100, 100000, 10000, 52
100, 100000, 10000, 73
100, 100000, 10000, 53
100, 100000, 10000, 77
100, 100000, 10000, 217
100, 100000, 10000, 59
100, 100000, 10000, 55
100, 100000, 10000, 55
100, 100000, 30000, 62
100, 100000, 10000, 112
100, 100000, 10000, 75
100, 100000, 70000, 61
100, 100000, 10000, 96
100, 100000, 10000, 57
100, 100000, 10000, 51
100, 100000, 10000, 57
100, 100000, 10000, 62
100, 100000, 10000, 63
100, 100000, 10000, 52
100, 100000, 10000, 75
100, 100000, 10000, 49
100, 100000, 10000, 56
100, 100000, 10000, 61
100, 100000, 10000, 55
100, 100000, 10000, 57
100, 100000, 60000, 59
100, 100000, 10000, 96
100, 100000, 10000, 174
100, 100000, 10000, 54
100, 100000, 10000, 49
100, 100000, 90000, 51
100, 100000, 20000, 169
100, 100000, 10000, 95
100, 100000, 10000, 49
100, 100000, 10000, 72
100, 100000, 10000, 61
100, 100000, 10000, 64
100, 100000, 10000, 181
100, 100000, 10000, 54
100, 100000, 10000, 50
100, 100000, 10000, 63
100, 100000, 60000, 57
100, 100000, 10000, 96
100, 100000, 10000, 47
100, 100000, 10000, 51
100, 100000, 10000, 50
100, 100000, 70000, 54
100, 100000, 10000, 133
100, 100000, 10000, 156
100, 100000, 10000, 162
100, 100000, 10000, 233
100, 100000, 10000, 60
100, 100000, 10000, 59
100, 100000, 10000, 57
100, 100000, 10000, 57
100, 100000, 10000, 58
100, 100000, 50000, 210
100, 100000, 10000, 99
100, 100000, 90000, 221
100, 100000, 10000, 97
100, 100000, 10000, 46
100, 100000, 10000, 54
100, 100000, 10000, 46
100, 100000, 10000, 48
100, 100000, 20000, 54
100, 100000, 10000, 153
100, 100000, 10000, 61
100, 100000, 80000, 232
100, 100000, 20000, 75
100, 100000, 10000, 49
100, 100000, 60000, 47
100, 100000, 10000, 103
100, 100000, 10000, 48
100, 100000, 30000, 48
100, 100000, 10000, 100
100, 100000, 10000, 53
100, 100000, 20000, 48
100, 100000, 10000, 130
100, 100000, 10000, 210
100, 100000, 10000, 47
100, 100000, 70000, 51
100, 100000, 10000, 95
100, 100000, 10000, 51
100, 100000, 10000, 71
100, 100000, 10000, 50
100, 100000, 10000, 50
100, 100000, 40000, 51
100, 100000, 10000, 95
100, 100000, 10000, 60
100, 100000, 10000, 46
100, 100000, 10000, 47
100, 100000, 40000, 526
100, 100000, 10000, 97
100, 100000, 10000, 48
100, 100000, 10000, 47
100, 100000, 10000, 48
100, 100000, 10000, 47
100, 100000, 10000, 48
100, 100000, 10000, 48
100, 100000, 10000, 49
100, 100000, 30000, 213
100, 100000, 10000, 94
100, 100000, 100000, 48
100, 100000, 10000, 97
100, 100000, 10000, 48
