consumer, M, length, time
1000, 1000, 300, 1209
1000, 1000, 800, 650
1000, 1000, 200, 820
1000, 1000, 800, 710
1000, 1000, 400, 587
1000, 1000, 1000, 728
1000, 1000, 100, 748
1000, 1000, 600, 17393062
1000, 1000, 900, 706
1000, 1000, 100, 18462558
1000, 1000, 400, 762
1000, 1000, 1000, 868
1000, 1000, 100, 3081
1000, 1000, 500, 771
1000, 1000, 200, 672
1000, 1000, 900, 24590569
1000, 1000, 300, 835
1000, 1000, 200, 711
1000, 1000, 300, 27506806
1000, 1000, 800, 38514316
1000, 1000, 600, 16946125
1000, 1000, 100, 1023
1000, 1000, 100, 30720347
1000, 1000, 100, 31078871
1000, 1000, 500, 36401792
1000, 1000, 700, 671
1000, 1000, 400, 33287830
1000, 1000, 500, 17116676
1000, 1000, 800, 4033
1000, 1000, 600, 741
1000, 1000, 300, 37727348
1000, 1000, 700, 38059969
1000, 1000, 800, 39322726
1000, 1000, 200, 40646855
1000, 1000, 400, 41042945
1000, 1000, 900, 41455642
1000, 1000, 600, 43181251
1000, 1000, 300, 43821775
1000, 1000, 900, 35570714
1000, 1000, 500, 243
1000, 1000, 500, 47375053
1000, 1000, 300, 48015931
1000, 1000, 700, 179
1000, 1000, 700, 50105646
1000, 1000, 600, 52427754
1000, 1000, 100, 176
1000, 1000, 900, 52448087
1000, 1000, 800, 20809206
1000, 1000, 100, 181
1000, 1000, 400, 167
1000, 1000, 500, 200
1000, 1000, 100, 57357012
1000, 1000, 1000, 58800574
1000, 1000, 300, 256
1000, 1000, 400, 59772238
1000, 1000, 1000, 368
1000, 1000, 600, 256
1000, 1000, 600, 270
1000, 1000, 200, 180
1000, 1000, 300, 123
1000, 1000, 600, 64581378
1000, 1000, 100, 268
1000, 1000, 600, 66008462
1000, 1000, 1000, 66944082
1000, 1000, 600, 199
1000, 1000, 100, 69586206
1000, 1000, 500, 69877656
1000, 1000, 600, 165
1000, 1000, 300, 190
1000, 1000, 600, 71954927
1000, 1000, 500, 72767803
1000, 1000, 700, 158
1000, 1000, 300, 136
1000, 1000, 700, 215
1000, 1000, 800, 75974025
1000, 1000, 900, 50498813
1000, 1000, 900, 80736231
1000, 1000, 300, 80922125
1000, 1000, 800, 82595887
1000, 1000, 400, 82851736
1000, 1000, 500, 224
1000, 1000, 200, 272
1000, 1000, 900, 130
1000, 1000, 300, 346
1000, 1000, 100, 86469843
1000, 1000, 700, 86926277
1000, 1000, 900, 202
1000, 1000, 1000, 90897215
1000, 1000, 900, 217
1000, 1000, 200, 253
1000, 1000, 100, 93436641
1000, 1000, 200, 93499266
1000, 1000, 500, 93712802
1000, 1000, 600, 194
1000, 1000, 500, 119
1000, 1000, 300, 95847336
1000, 1000, 700, 96220814
1000, 1000, 900, 230
1000, 1000, 600, 227
1000, 1000, 300, 214
1000, 1000, 400, 226
1000, 1000, 600, 100280559
1000, 1000, 900, 43246345
1000, 1000, 100, 177
1000, 1000, 200, 102677066
1000, 1000, 100, 103031576
1000, 1000, 200, 257
1000, 1000, 800, 207
1000, 1000, 600, 224
1000, 1000, 200, 220
1000, 1000, 900, 143
1000, 1000, 1000, 260
1000, 1000, 600, 269
1000, 1000, 1000, 211
1000, 1000, 900, 224
1000, 1000, 300, 112902263
1000, 1000, 400, 244
1000, 1000, 100, 113839832
1000, 1000, 300, 248
1000, 1000, 100, 114464982
1000, 1000, 200, 209
1000, 1000, 1000, 114821375
1000, 1000, 200, 152
1000, 1000, 300, 117016071
1000, 1000, 300, 117654444
1000, 1000, 1000, 362
1000, 1000, 800, 222
1000, 1000, 100, 125807157
1000, 1000, 800, 240
1000, 1000, 100, 131
1000, 1000, 400, 126767729
1000, 1000, 700, 259
1000, 1000, 1000, 270
1000, 1000, 800, 287
1000, 1000, 300, 130485032
1000, 1000, 300, 212
1000, 1000, 200, 131273215
1000, 1000, 900, 131471130
1000, 1000, 400, 196
1000, 1000, 600, 133480602
1000, 1000, 500, 196
1000, 1000, 200, 316
1000, 1000, 500, 135046662
1000, 1000, 100, 135708088
1000, 1000, 200, 234
1000, 1000, 200, 136100643
1000, 1000, 600, 259
1000, 1000, 600, 254
1000, 1000, 300, 260
1000, 1000, 100, 172
1000, 1000, 800, 137
1000, 1000, 100, 138
1000, 1000, 500, 295
1000, 1000, 500, 228
1000, 1000, 700, 140299802
1000, 1000, 700, 143150396
1000, 1000, 200, 310
1000, 1000, 800, 145600964
1000, 1000, 600, 174
1000, 1000, 500, 287
1000, 1000, 800, 68042233
1000, 1000, 800, 248
1000, 1000, 200, 217
1000, 1000, 100, 261
1000, 1000, 800, 148876914
1000, 1000, 200, 152128202
1000, 1000, 600, 110
1000, 1000, 300, 293
1000, 1000, 500, 151851798
1000, 1000, 800, 825
1000, 1000, 100, 155422393
1000, 1000, 400, 262
1000, 1000, 500, 243
1000, 1000, 400, 282
1000, 1000, 900, 157271398
1000, 1000, 800, 158685895
1000, 1000, 1000, 161471326
1000, 1000, 100, 255
1000, 1000, 500, 246
1000, 1000, 100, 242
1000, 1000, 400, 237
1000, 1000, 600, 217
1000, 1000, 700, 314
1000, 1000, 500, 232
1000, 1000, 300, 305
1000, 1000, 700, 244
1000, 1000, 500, 126
1000, 1000, 900, 164819313
1000, 1000, 600, 1267
1000, 1000, 600, 830
1000, 1000, 400, 283
1000, 1000, 200, 311
1000, 1000, 500, 235
1000, 1000, 1000, 272
1000, 1000, 300, 210
1000, 1000, 600, 173373373
1000, 1000, 800, 191
1000, 1000, 1000, 85425465
1000, 1000, 500, 176797669
1000, 1000, 600, 177247800
1000, 1000, 100, 178413765
1000, 1000, 900, 244
1000, 1000, 900, 286
1000, 1000, 200, 240
1000, 1000, 800, 159
1000, 1000, 200, 184661554
1000, 1000, 100, 225
1000, 1000, 1000, 116
1000, 1000, 900, 212
1000, 1000, 400, 190141956
1000, 1000, 900, 238
1000, 1000, 100, 193124968
1000, 1000, 300, 922
1000, 1000, 500, 133
1000, 1000, 300, 308
1000, 1000, 400, 196915221
1000, 1000, 200, 271
1000, 1000, 400, 197621695
1000, 1000, 200, 198053059
1000, 1000, 700, 198237597
1000, 1000, 700, 284
1000, 1000, 500, 210
1000, 1000, 400, 218
1000, 1000, 600, 254
1000, 1000, 100, 200459190
1000, 1000, 800, 112
1000, 1000, 600, 495
1000, 1000, 400, 201636429
1000, 1000, 900, 772
1000, 1000, 700, 203691026
1000, 1000, 800, 104913333
1000, 1000, 900, 820
1000, 1000, 200, 208248853
1000, 1000, 600, 246
1000, 1000, 700, 760
1000, 1000, 400, 179
1000, 1000, 600, 210435408
1000, 1000, 300, 362
1000, 1000, 100, 211427838
1000, 1000, 900, 211550833
1000, 1000, 400, 175
1000, 1000, 700, 311
1000, 1000, 900, 198
1000, 1000, 500, 215110133
1000, 1000, 500, 194
1000, 1000, 300, 837
1000, 1000, 1000, 396
1000, 1000, 600, 302
1000, 1000, 200, 334
1000, 1000, 200, 220238612
1000, 1000, 400, 324
1000, 1000, 800, 220955969
1000, 1000, 400, 224501586
1000, 1000, 300, 83
1000, 1000, 200, 222305474
1000, 1000, 1000, 222465085
1000, 1000, 900, 113539455
1000, 1000, 100, 447
