producers, M, length, time
1000, 10000, 8000, 4891
1000, 10000, 4000, 980
1000, 10000, 1000, 1045
1000, 10000, 4000, 120090429
1000, 10000, 5000, 32352262
1000, 10000, 6000, 1227
1000, 10000, 6000, 50740533
1000, 10000, 10000, 1561
1000, 10000, 6000, 5844
1000, 10000, 7000, 1544
1000, 10000, 4000, 2854
1000, 10000, 3000, 6198
1000, 10000, 1000, 4433
1000, 10000, 8000, 198017209
1000, 10000, 9000, 154
1000, 10000, 3000, 237203103
1000, 10000, 5000, 187
1000, 10000, 2000, 173
1000, 10000, 5000, 258
1000, 10000, 8000, 252
1000, 10000, 4000, 234
1000, 10000, 9000, 302235446
1000, 10000, 2000, 291
1000, 10000, 9000, 281
1000, 10000, 10000, 225
1000, 10000, 2000, 826
1000, 10000, 6000, 275
1000, 10000, 4000, 380
1000, 10000, 7000, 320
1000, 10000, 10000, 435
1000, 10000, 2000, 1469
1000, 10000, 9000, 252
1000, 10000, 1000, 287
1000, 10000, 6000, 284
1000, 10000, 6000, 714760429
1000, 10000, 10000, 1260
1000, 10000, 10000, 395
1000, 10000, 6000, 729
1000, 10000, 10000, 315
1000, 10000, 4000, 803512538
1000, 10000, 6000, 817030500
1000, 10000, 1000, 278
1000, 10000, 9000, 336
1000, 10000, 2000, 307
1000, 10000, 4000, 273
1000, 10000, 5000, 444
1000, 10000, 2000, 314
1000, 10000, 6000, 290
1000, 10000, 10000, 266
1000, 10000, 7000, 231
1000, 10000, 6000, 222
1000, 10000, 4000, 256
1000, 10000, 2000, 204
1000, 10000, 3000, 311
1000, 10000, 10000, 257
1000, 10000, 2000, 287
1000, 10000, 1000, 940661348
1000, 10000, 6000, 970290481
1000, 10000, 1000, 297
1000, 10000, 4000, 258
1000, 10000, 6000, 1044648804
1000, 10000, 1000, 454
1000, 10000, 4000, 1082835690
1000, 10000, 1000, 198
1000, 10000, 2000, 247
1000, 10000, 10000, 1100061611
1000, 10000, 7000, 1142
1000, 10000, 8000, 1221391148
1000, 10000, 10000, 1273317212
1000, 10000, 2000, 1305628459
1000, 10000, 4000, 97316
1000, 10000, 2000, 50235
1000, 10000, 3000, 37101
1000, 10000, 4000, 1387002923
1000, 10000, 3000, 48936
1000, 10000, 2000, 130685
1000, 10000, 5000, 53243
1000, 10000, 10000, 48479
1000, 10000, 5000, 79455
1000, 10000, 10000, 105416
1000, 10000, 8000, 391293
1000, 10000, 2000, 1478106083
1000, 10000, 7000, 49033
1000, 10000, 10000, 1187930045
1000, 10000, 8000, 510
1000, 10000, 6000, 1505934889
1000, 10000, 7000, 47693
1000, 10000, 8000, 61367
1000, 10000, 1000, 1543274511
1000, 10000, 10000, 54421
1000, 10000, 10000, 49716
1000, 10000, 1000, 60251
1000, 10000, 4000, 136307
1000, 10000, 3000, 120996
1000, 10000, 2000, 47602
1000, 10000, 8000, 139495
1000, 10000, 8000, 45060
1000, 10000, 9000, 1626846482
1000, 10000, 4000, 54028
1000, 10000, 5000, 44889
1000, 10000, 8000, 140900
1000, 10000, 7000, 137773
1000, 10000, 1000, 84480
1000, 10000, 4000, 51384
1000, 10000, 10000, 61054
1000, 10000, 1000, 46653
1000, 10000, 6000, 57333
1000, 10000, 5000, 87261
1000, 10000, 4000, 44963
1000, 10000, 4000, 43444
1000, 10000, 9000, 45358
1000, 10000, 8000, 1776316830
1000, 10000, 9000, 1794550887
1000, 10000, 1000, 1795061286
1000, 10000, 1000, 1796392713
1000, 10000, 10000, 1824942135
1000, 10000, 2000, 1826038482
1000, 10000, 1000, 1876733532
1000, 10000, 7000, 1877065790
1000, 10000, 2000, 1879403613
1000, 10000, 7000, 1131361123
1000, 10000, 3000, 11698
1000, 10000, 1000, 1892415285
1000, 10000, 1000, 1895231164
1000, 10000, 2000, 1899894450
1000, 10000, 9000, 1103164876
1000, 10000, 7000, 1922382659
1000, 10000, 4000, 3638
1000, 10000, 4000, 1914485042
1000, 10000, 7000, 1935613071
1000, 10000, 5000, 1928459231
1000, 10000, 7000, 1939376147
1000, 10000, 1000, 1940765001
1000, 10000, 10000, 1959753018
1000, 10000, 8000, 1973607801
1000, 10000, 5000, 1979203520
1000, 10000, 4000, 1982254133
1000, 10000, 4000, 1987129006
1000, 10000, 2000, 1987611833
1000, 10000, 5000, 2001035106
1000, 10000, 8000, 2001406668
1000, 10000, 10000, 2006814121
1000, 10000, 5000, 1097938474
1000, 10000, 1000, 174
1000, 10000, 2000, 2040516845
1000, 10000, 9000, 2042647879
1000, 10000, 4000, 2101631154
1000, 10000, 10000, 2102129349
1000, 10000, 1000, 2120354030
1000, 10000, 8000, 2120530689
1000, 10000, 6000, 2136411580
1000, 10000, 7000, 2141872376
1000, 10000, 10000, 230
1000, 10000, 6000, 2154137328
1000, 10000, 6000, 2177567080
1000, 10000, 9000, 2179904915
1000, 10000, 10000, 984657102
1000, 10000, 2000, 129
1000, 10000, 4000, 2200194734
1000, 10000, 8000, 2219411091
1000, 10000, 1000, 2227378765
1000, 10000, 10000, 2240987073
1000, 10000, 8000, 2251058387
1000, 10000, 5000, 2274577836
1000, 10000, 9000, 2289308893
1000, 10000, 8000, 2299074733
1000, 10000, 10000, 2322341390
1000, 10000, 9000, 877049961
1000, 10000, 4000, 154
1000, 10000, 2000, 2341799788
1000, 10000, 7000, 2352344769
1000, 10000, 8000, 2373749211
1000, 10000, 2000, 2374062934
1000, 10000, 9000, 2381006705
1000, 10000, 3000, 120
1000, 10000, 1000, 2388433930
1000, 10000, 5000, 879002847
1000, 10000, 3000, 125
1000, 10000, 1000, 2389289443
1000, 10000, 1000, 2397821724
1000, 10000, 4000, 2420173564
1000, 10000, 6000, 2422399389
1000, 10000, 5000, 2441023522
1000, 10000, 3000, 2443110186
1000, 10000, 9000, 2444146979
1000, 10000, 10000, 2454629465
1000, 10000, 6000, 2483310192
1000, 10000, 3000, 2488709150
1000, 10000, 8000, 2518916694
1000, 10000, 5000, 152
1000, 10000, 9000, 2527789917
1000, 10000, 3000, 2531609627
1000, 10000, 4000, 2533899342
1000, 10000, 1000, 2548304556
1000, 10000, 8000, 2549113172
1000, 10000, 2000, 2553431615
1000, 10000, 5000, 2553578003
1000, 10000, 7000, 2561530847
1000, 10000, 2000, 2569912314
1000, 10000, 4000, 2571761361
1000, 10000, 7000, 2572139435
1000, 10000, 2000, 2587319520
1000, 10000, 3000, 2588621493
1000, 10000, 10000, 834693246
1000, 10000, 7000, 106
1000, 10000, 1000, 2603575111
1000, 10000, 2000, 2609558312
1000, 10000, 2000, 2612873429
1000, 10000, 10000, 2619006869
1000, 10000, 8000, 2624866085
1000, 10000, 4000, 2648767354
1000, 10000, 8000, 2648925764
1000, 10000, 2000, 2664221161
1000, 10000, 4000, 2665882656
1000, 10000, 2000, 2672466064
1000, 10000, 8000, 2672657044
1000, 10000, 6000, 2678458567
1000, 10000, 6000, 2705164370
1000, 10000, 9000, 2706181874
1000, 10000, 4000, 2730980723
1000, 10000, 7000, 2748152035
1000, 10000, 10000, 2748338806
1000, 10000, 3000, 2748946209
1000, 10000, 6000, 828648959
1000, 10000, 2000, 2763627371
1000, 10000, 6000, 2769270836
1000, 10000, 7000, 2780083899
1000, 10000, 10000, 2786972226
1000, 10000, 9000, 2806160461
1000, 10000, 2000, 83
1000, 10000, 1000, 2818711892
1000, 10000, 1000, 2818953834
1000, 10000, 3000, 2820956624
1000, 10000, 7000, 2822630202
1000, 10000, 8000, 2822839856
1000, 10000, 1000, 2850174363
1000, 10000, 3000, 2855520062
1000, 10000, 10000, 2856167282
1000, 10000, 3000, 2907903549
1000, 10000, 2000, 129
1000, 10000, 4000, 2919475785
1000, 10000, 1000, 190
1000, 10000, 4000, 2915068361
1000, 10000, 7000, 2920059403
1000, 10000, 6000, 2930205243
1000, 10000, 6000, 2930361476
1000, 10000, 6000, 2944400591
1000, 10000, 8000, 2944620707
