consumer, M, length, time
1000, 100000, 60000, 249
1000, 100000, 10000, 244
1000, 100000, 60000, 274
1000, 100000, 70000, 146
1000, 100000, 10000, 97
1000, 100000, 20000, 190
1000, 100000, 60000, 189
1000, 100000, 80000, 190
1000, 100000, 90000, 114
1000, 100000, 40000, 192
1000, 100000, 30000, 81
1000, 100000, 30000, 212
1000, 100000, 60000, 97
1000, 100000, 20000, 165
1000, 100000, 40000, 84
1000, 100000, 70000, 47
1000, 100000, 30000, 95
1000, 100000, 20000, 133
1000, 100000, 80000, 184
1000, 100000, 20000, 49
1000, 100000, 30000, 262
1000, 100000, 50000, 184
1000, 100000, 60000, 93
1000, 100000, 20000, 178
1000, 100000, 50000, 133
1000, 100000, 40000, 93
1000, 100000, 50000, 168
1000, 100000, 100000, 97
1000, 100000, 50000, 214
1000, 100000, 10000, 955
1000, 100000, 70000, 56
1000, 100000, 30000, 152
1000, 100000, 40000, 163
1000, 100000, 50000, 96
1000, 100000, 30000, 97
1000, 100000, 80000, 216
1000, 100000, 70000, 96
1000, 100000, 30000, 195
1000, 100000, 80000, 113
1000, 100000, 70000, 96
1000, 100000, 20000, 187
1000, 100000, 20000, 94
1000, 100000, 40000, 175
1000, 100000, 10000, 50
1000, 100000, 50000, 95
1000, 100000, 20000, 95
1000, 100000, 100000, 182
1000, 100000, 10000, 96
1000, 100000, 50000, 53
1000, 100000, 20000, 150
1000, 100000, 90000, 192
1000, 100000, 50000, 43
1000, 100000, 20000, 287
1000, 100000, 60000, 75
1000, 100000, 20000, 97
1000, 100000, 20000, 116
1000, 100000, 20000, 195
1000, 100000, 80000, 122
1000, 100000, 20000, 100
1000, 100000, 40000, 240
1000, 100000, 70000, 51
1000, 100000, 10000, 97
1000, 100000, 50000, 209
1000, 100000, 80000, 129
1000, 100000, 50000, 49
1000, 100000, 100000, 234
1000, 100000, 70000, 227
1000, 100000, 40000, 2433
1000, 100000, 10000, 133
1000, 100000, 100000, 95
1000, 100000, 30000, 229
1000, 100000, 100000, 49
1000, 100000, 10000, 106
1000, 100000, 60000, 51
1000, 100000, 30000, 224
1000, 100000, 30000, 127
1000, 100000, 70000, 117
1000, 100000, 40000, 94
1000, 100000, 80000, 208
1000, 100000, 80000, 135
1000, 100000, 60000, 355
1000, 100000, 30000, 96
1000, 100000, 80000, 93
1000, 100000, 30000, 806
1000, 100000, 70000, 93
1000, 100000, 60000, 103
1000, 100000, 70000, 224
1000, 100000, 70000, 105
1000, 100000, 20000, 98
1000, 100000, 10000, 331
1000, 100000, 100000, 80
1000, 100000, 20000, 218
1000, 100000, 30000, 142
1000, 100000, 100000, 161
1000, 100000, 60000, 6754
1000, 100000, 20000, 67
1000, 100000, 30000, 64
1000, 100000, 20000, 93
1000, 100000, 10000, 99
1000, 100000, 30000, 207
1000, 100000, 20000, 141
1000, 100000, 100000, 48
1000, 100000, 60000, 328
1000, 100000, 100000, 98
1000, 100000, 40000, 95
1000, 100000, 60000, 347
1000, 100000, 40000, 99
1000, 100000, 60000, 351
1000, 100000, 90000, 95
1000, 100000, 30000, 109
1000, 100000, 60000, 253
1000, 100000, 90000, 123
1000, 100000, 20000, 108
1000, 100000, 10000, 329
1000, 100000, 80000, 54
1000, 100000, 30000, 410
1000, 100000, 90000, 118
1000, 100000, 80000, 267
1000, 100000, 10000, 101
1000, 100000, 90000, 219
1000, 100000, 10000, 121
1000, 100000, 10000, 74
1000, 100000, 60000, 398
1000, 100000, 10000, 122
1000, 100000, 30000, 47
1000, 100000, 10000, 124
1000, 100000, 60000, 48
1000, 100000, 10000, 96
1000, 100000, 50000, 360
1000, 100000, 60000, 121
1000, 100000, 20000, 94
1000, 100000, 20000, 363
1000, 100000, 10000, 168
1000, 100000, 40000, 103
1000, 100000, 40000, 93
1000, 100000, 10000, 168
1000, 100000, 50000, 138
1000, 100000, 70000, 342
1000, 100000, 30000, 94
1000, 100000, 100000, 223
1000, 100000, 70000, 340
1000, 100000, 70000, 95
1000, 100000, 60000, 95
1000, 100000, 20000, 391
1000, 100000, 80000, 62
1000, 100000, 80000, 246
1000, 100000, 20000, 384
1000, 100000, 70000, 47
