producers, M, length, time
1000, 10000, 5000, 1289
1000, 10000, 4000, 290
1000, 10000, 9000, 253
1000, 10000, 4000, 284
1000, 10000, 7000, 334
1000, 10000, 4000, 236
1000, 10000, 3000, 278
1000, 10000, 6000, 342
1000, 10000, 9000, 88
1000, 10000, 8000, 96
1000, 10000, 7000, 264
1000, 10000, 8000, 98
1000, 10000, 3000, 327
1000, 10000, 8000, 296
1000, 10000, 3000, 64
1000, 10000, 4000, 63
1000, 10000, 10000, 289
1000, 10000, 3000, 231
1000, 10000, 8000, 64
1000, 10000, 6000, 336
1000, 10000, 5000, 61
1000, 10000, 8000, 59
1000, 10000, 7000, 487
1000, 10000, 5000, 53
1000, 10000, 3000, 755
1000, 10000, 2000, 73
1000, 10000, 9000, 843
1000, 10000, 2000, 50
1000, 10000, 8000, 306
1000, 10000, 5000, 73
1000, 10000, 2000, 69
1000, 10000, 2000, 361
1000, 10000, 7000, 52
1000, 10000, 1000, 56
1000, 10000, 3000, 202
1000, 10000, 8000, 285
1000, 10000, 5000, 162
1000, 10000, 2000, 420
1000, 10000, 2000, 594
1000, 10000, 6000, 60
1000, 10000, 7000, 58
1000, 10000, 9000, 258
1000, 10000, 9000, 311
1000, 10000, 1000, 76
1000, 10000, 2000, 74
1000, 10000, 1000, 283
1000, 10000, 7000, 53
1000, 10000, 1000, 64
1000, 10000, 7000, 480
1000, 10000, 1000, 57
1000, 10000, 1000, 61
1000, 10000, 7000, 58
1000, 10000, 7000, 296
1000, 10000, 5000, 337
1000, 10000, 2000, 69
1000, 10000, 2000, 2022
1000, 10000, 5000, 57
1000, 10000, 6000, 84
1000, 10000, 7000, 520
1000, 10000, 10000, 59
1000, 10000, 1000, 63
1000, 10000, 2000, 357
1000, 10000, 4000, 50
1000, 10000, 1000, 59
1000, 10000, 8000, 53
1000, 10000, 2000, 53
1000, 10000, 8000, 1904
1000, 10000, 10000, 242
1000, 10000, 5000, 397
1000, 10000, 8000, 77
1000, 10000, 9000, 231
1000, 10000, 2000, 72
1000, 10000, 1000, 74
1000, 10000, 6000, 65
1000, 10000, 9000, 362
1000, 10000, 3000, 67
1000, 10000, 10000, 1181
1000, 10000, 8000, 61
1000, 10000, 1000, 67
1000, 10000, 2000, 558
1000, 10000, 8000, 64
1000, 10000, 8000, 64
1000, 10000, 10000, 422
1000, 10000, 5000, 48
1000, 10000, 3000, 523
1000, 10000, 6000, 53
1000, 10000, 2000, 57
1000, 10000, 7000, 62
1000, 10000, 6000, 315
1000, 10000, 10000, 52
1000, 10000, 10000, 422
1000, 10000, 2000, 686
1000, 10000, 7000, 54
1000, 10000, 2000, 58
1000, 10000, 4000, 58
1000, 10000, 3000, 319
1000, 10000, 9000, 768
1000, 10000, 2000, 101
1000, 10000, 3000, 51
1000, 10000, 5000, 2727
1000, 10000, 8000, 249
1000, 10000, 7000, 237
1000, 10000, 3000, 328
1000, 10000, 1000, 494
1000, 10000, 4000, 52
1000, 10000, 7000, 54
1000, 10000, 3000, 50
1000, 10000, 4000, 55
1000, 10000, 2000, 607
1000, 10000, 6000, 59
1000, 10000, 5000, 55
1000, 10000, 4000, 70
1000, 10000, 7000, 569
1000, 10000, 6000, 54
1000, 10000, 1000, 48
1000, 10000, 3000, 473
1000, 10000, 5000, 52
1000, 10000, 7000, 49
1000, 10000, 1000, 50
1000, 10000, 1000, 52
1000, 10000, 5000, 53
1000, 10000, 8000, 568
1000, 10000, 4000, 708
1000, 10000, 4000, 72
1000, 10000, 6000, 1132
1000, 10000, 4000, 98
1000, 10000, 6000, 435
1000, 10000, 9000, 74
1000, 10000, 1000, 49
1000, 10000, 1000, 52
1000, 10000, 10000, 524
1000, 10000, 5000, 57
1000, 10000, 3000, 533
1000, 10000, 3000, 56
1000, 10000, 5000, 74
1000, 10000, 2000, 58
1000, 10000, 1000, 63
1000, 10000, 2000, 58
1000, 10000, 4000, 62
1000, 10000, 5000, 591
1000, 10000, 8000, 73
1000, 10000, 7000, 556
1000, 10000, 9000, 55
1000, 10000, 1000, 50
1000, 10000, 3000, 536
1000, 10000, 10000, 54
1000, 10000, 7000, 562
1000, 10000, 9000, 57
1000, 10000, 6000, 52
1000, 10000, 6000, 1490
1000, 10000, 8000, 103
1000, 10000, 8000, 600
1000, 10000, 2000, 53
1000, 10000, 3000, 51
1000, 10000, 4000, 52
1000, 10000, 8000, 520
1000, 10000, 5000, 56
1000, 10000, 4000, 498
1000, 10000, 7000, 96
1000, 10000, 7000, 54
1000, 10000, 5000, 732
1000, 10000, 8000, 515
1000, 10000, 5000, 52
1000, 10000, 8000, 1280
1000, 10000, 9000, 96
1000, 10000, 5000, 523
1000, 10000, 7000, 53
1000, 10000, 1000, 53
1000, 10000, 5000, 56
1000, 10000, 10000, 567
1000, 10000, 3000, 71
1000, 10000, 1000, 646
1000, 10000, 9000, 54
1000, 10000, 3000, 54
1000, 10000, 1000, 52
1000, 10000, 2000, 52
1000, 10000, 9000, 541
1000, 10000, 6000, 600
1000, 10000, 7000, 49
1000, 10000, 4000, 51
1000, 10000, 10000, 538
1000, 10000, 4000, 58
1000, 10000, 2000, 53
1000, 10000, 7000, 510
1000, 10000, 3000, 680
1000, 10000, 10000, 54
1000, 10000, 2000, 50
1000, 10000, 6000, 551
1000, 10000, 3000, 49
1000, 10000, 3000, 600
1000, 10000, 7000, 47
1000, 10000, 1000, 48
1000, 10000, 5000, 47
1000, 10000, 5000, 48
1000, 10000, 7000, 573
1000, 10000, 5000, 335
1000, 10000, 2000, 595
1000, 10000, 9000, 48
1000, 10000, 8000, 46
1000, 10000, 8000, 406
1000, 10000, 10000, 40
1000, 10000, 3000, 458
1000, 10000, 3000, 48
1000, 10000, 7000, 47
1000, 10000, 1000, 47
1000, 10000, 1000, 50
1000, 10000, 2000, 558
1000, 10000, 8000, 41
1000, 10000, 1000, 49
1000, 10000, 5000, 52
1000, 10000, 1000, 47
1000, 10000, 8000, 411
1000, 10000, 2000, 41
1000, 10000, 7000, 297
1000, 10000, 8000, 49
1000, 10000, 2000, 381
1000, 10000, 8000, 55
1000, 10000, 9000, 72
1000, 10000, 9000, 1635
1000, 10000, 4000, 63
1000, 10000, 6000, 478
1000, 10000, 1000, 47
1000, 10000, 8000, 47
1000, 10000, 2000, 538
1000, 10000, 4000, 172
1000, 10000, 3000, 96
1000, 10000, 6000, 49
1000, 10000, 8000, 964
1000, 10000, 5000, 48
1000, 10000, 1000, 47
1000, 10000, 5000, 578
1000, 10000, 1000, 51
1000, 10000, 7000, 54
1000, 10000, 5000, 51
1000, 10000, 3000, 525
1000, 10000, 10000, 47
1000, 10000, 2000, 368
1000, 10000, 9000, 48
1000, 10000, 8000, 362
1000, 10000, 9000, 47
1000, 10000, 2000, 594
1000, 10000, 4000, 46
1000, 10000, 8000, 47
1000, 10000, 1000, 389
1000, 10000, 6000, 47
1000, 10000, 10000, 48
1000, 10000, 4000, 462
1000, 10000, 4000, 46
1000, 10000, 5000, 46
1000, 10000, 6000, 288
1000, 10000, 7000, 46
1000, 10000, 2000, 47
1000, 10000, 7000, 465
1000, 10000, 5000, 47
1000, 10000, 10000, 1387
1000, 10000, 8000, 138
1000, 10000, 7000, 1328
1000, 10000, 7000, 181
1000, 10000, 3000, 492
1000, 10000, 3000, 48
1000, 10000, 5000, 46
1000, 10000, 5000, 81
1000, 10000, 7000, 728
1000, 10000, 9000, 47
1000, 10000, 5000, 420
1000, 10000, 9000, 48
1000, 10000, 5000, 47
1000, 10000, 1000, 666
1000, 10000, 5000, 49
1000, 10000, 1000, 374
1000, 10000, 8000, 56
1000, 10000, 5000, 54
1000, 10000, 2000, 50
1000, 10000, 7000, 376
1000, 10000, 9000, 357
1000, 10000, 6000, 41
1000, 10000, 7000, 300
1000, 10000, 9000, 49
1000, 10000, 3000, 596
1000, 10000, 7000, 48
1000, 10000, 8000, 48
1000, 10000, 6000, 589
1000, 10000, 2000, 67
1000, 10000, 1000, 53
1000, 10000, 9000, 55
1000, 10000, 9000, 686
1000, 10000, 2000, 51
1000, 10000, 9000, 53
1000, 10000, 8000, 402
1000, 10000, 4000, 96
1000, 10000, 3000, 460
1000, 10000, 1000, 47
1000, 10000, 6000, 47
1000, 10000, 8000, 1397
1000, 10000, 8000, 107
1000, 10000, 2000, 130
1000, 10000, 10000, 492
1000, 10000, 9000, 604
1000, 10000, 8000, 47
1000, 10000, 2000, 46
1000, 10000, 1000, 288
1000, 10000, 4000, 48
1000, 10000, 3000, 47
1000, 10000, 3000, 47
1000, 10000, 4000, 391
1000, 10000, 5000, 48
1000, 10000, 8000, 427
1000, 10000, 10000, 341
1000, 10000, 3000, 46
1000, 10000, 7000, 902
1000, 10000, 5000, 163
1000, 10000, 1000, 808
1000, 10000, 3000, 198
1000, 10000, 4000, 98
1000, 10000, 6000, 47
1000, 10000, 10000, 649
1000, 10000, 6000, 46
1000, 10000, 3000, 61
1000, 10000, 6000, 533
1000, 10000, 5000, 48
1000, 10000, 3000, 46
1000, 10000, 5000, 49
1000, 10000, 4000, 573
1000, 10000, 4000, 47
1000, 10000, 2000, 48
1000, 10000, 10000, 542
1000, 10000, 3000, 47
1000, 10000, 3000, 526
1000, 10000, 8000, 72
1000, 10000, 10000, 47
1000, 10000, 5000, 523
1000, 10000, 5000, 47
1000, 10000, 5000, 47
1000, 10000, 6000, 48
1000, 10000, 3000, 373
1000, 10000, 3000, 49
